	STY	ALB	BKI	BVI	CCI	CHR	DGS	DWN	FBE	FXB	GEI	HLC	LYI	MPA	NHA	NWI	PBI	PGR	PHD	PSC	PST	RYC	SDI	PHP	SHB	SLI	SPI	SPP	WDI	WPI
STY	106	50	129	108	85	34	98	86	86	83	89	31	26	65	130	72	96	65	47	116	96	88	65	103	65	48	100	116	116
ALB		62	34	57	34		28	24	24	30	44		80	43	39	63	12	52		14	40	52	52	27	55		23	24	24
BKI	62		90	84	53			47	47	35	62	19	26	19	98	59	53	42	41	73	68	67	42	67	17		63	77	77
BVI	34	90		43	44		31	44	44	63	45				6	69	34	65		21	38	51	65	27	87		29	13	13
CCI	57	84	43		34		30	45	45		22	91	86	70	39	37	51	45		51	19	20	45	30	90		34	39	39
CHR	34	53	44	34			13	14	14	40	13	62	60	35	45	30	24	22	42	37	15	21	22	17	56		16	32	32
DGS								61	61		57		23			38		34	15		65	56	34					91	91
DWN	62	22		69	41			40	40	43	47	22	20	23	86	39	51	24	19	71	54	49	24	58	36	15		71	71
FBE	24	47	44	45	14	61	17			27	26	59	60	28	47	42	12	28	47	31	26	34	28	20	47	44	16	31	31
FXB	24	47	44	45	14	61	17			27	26	59	60	28	47	42	12	28	47	31	26	34	28	20	47	44	16	31	31
GEI	30	35	63		40			27	27		52	52	58	20			25	48		43		60	48		25			51	51
HLC	44	62	45	22	13	57	18	26	26	52			66	47	45	24	36	24	43	44	9	9	24	21	68	41	23	36	36
LYI		19		91	62			59	59	52			10	35		59		47			75		47		34				
MPA	80	26		86	60	23	73	60	60	58	66	10		39	105	53		42		90	73	67	42		43			91	91
NHA	43	19		70	35			28	28	20	47	35	39			50	34	34		54	50	53	34		21		45	58	58
NWI	39	98	6	39	45		32	47	47		45		105			68	42	66		26	37	50	66	28	90		31	16	16
PBI	63	59	69	37	30	38	40	42	42		24	59	53	50	68		53	18	26	67	32	18	18	44	70		45	59	59
PGR	12	53	34	51	24		21	12	12	25	36			34	42	53		40		21	33	44	40	22	47		17	26	26
PHD	52	42	65	45	22	34	35	28	28	48	24	47	42	34	66	18	40		21	57	32	26	2	39	52	18	37	54	54
PSC		41			42	15		47	47		43					26		21			51	41	21	59					
PST	14	73	21	51	37		26	31	31	43	44		90	54	26	67	21	57			38	52	57	24	68		22	14	14
RYC	40	68	38	19	15	65	13	26	26		9	75	73	50	37	32	33	32	51	38		15	32	14	71		17	28	28
SDI	52	67	51	20	21	56	26	34	34	60	9		67	53	50	18	44	26	41	52	15		26	29	74		30	43	43
PHP	52	42	65	45	22	34	35	28	28	48	24	47	42	34	66	18	40	2	21	57	32	26		39	52	18	37	54	54
SHB	27	67	27	30	17		4	20	20		21				28	44	22	39	59	24	14	29	39				5	15	15
SLI	55	17		90	56		64	47	47	25	68	34	43	21	90	70	47	52		68	71	74	52				63	75	75
SPI	29	33			33			21	21	8	47	49	53	15	64	55	21	40		41			40	40	27		36	48	48
SPP	23	63	29	34	16		5	16	16		23			45	31	45	17	37		22	17	30	37	5	63			17	17
WDI	24	77	13	39	32	91	19	31	31	51	36		91	58	16	59	26	54		14	28	43	54	15	75		17		
WPI				7	32	77		43	43		23		88		33	41		46		45	17	23	46	26			30	33	33
