	STY	ALB	BKI	BVI	CCI	CHR	DGS	DWN	FBE	FXB	GEI	HLC	LYI	MPA	NHA	NWI	PBI	PGR	PHD	PSC	PST	RYC	SDI	PHP	SHB	SLI	SPI	SPP	WDI	WPI
STY	248	230	260	278	264	290	263	255	255	236	272	230	245	240	264	282	250	270	280	254	270	277	270	263	223	272	260	260	260
ALB		084	305	352	025		002	041	041	101	014		068	079	309	020	047	042		295	002	013	042	354	100		0	320	320
BKI	264		280	305	298			283	283	249	305	048	029	275	281	327	270	320	348	268	301	310	320	288	207		286	279	279
BVI	125	100		030	075		073	090	090	114	058				336	058	107	070		130	057	050	070	073	109		081	091	091
CCI	172	125	210		140		162	148	148		127	108	108	134	216	088	161	112		185	148	103	112	170	135		167	192	192
CHR	205	118	255	320			255	170	170	159	344	100	090	128	260	030	195	065	067	227	308	350	065	255	135		240	247	247
DGS								236	236		262		162			279		250	255		260	271	250					249	249
DWN	243	164		295	274			255	255	217	288	114	084	213	266	318	245	298	353	250	284	299	298	268	180	348		262	262
FBE	221	103	270	328	350	056	305			150	350	089	080	109	278	018	215	042	050	245	330	350	042	297	124	055	288	271	271
FXB	221	103	270	328	350	056	305			150	350	089	080	109	278	018	215	042	050	245	330	350	042	297	124	055	288	271	271
GEI	281	069	294		339			330	330		345	060	052	040			304	005		285		342	005		095			299	299
HLC	194	125	238	307	164	082	209	170	170	165			100	138	245	054	182	100	085	210	245	008	100	218	140	090	205	227	227
LYI		228		288	280			269	269	240			358	252		308		299			285		299		216				
MPA	248	209		288	270	342	268	260	260	232	280	178		237	265	300		282		255	278	288	282		207			263	263
NHA	259	095		314	308			289	289	220	318	072	057			345	268	345		266	308	322	345		144		290	286	286
NWI	129	101	156	036	080		084	098	098		065		085			062	113	074		135	065	058	074	084	110		093	111	111
PBI	200	147	238	268	210	099	223	198	198		234	128	120	165	242		204	167	112	219	235	252	167	225	159		221	230	230
PGR	227	090	287	341	015		341	035	035	124	002			088	293	024		040		262	348	004	040	329	108		330	295	295
PHD	222	140	250	292	245	070	250	222	222	185	280	119	102	165	254	347	220		067	231	270	298	310	250	157	080	246	244	244
PSC		168			247	075		230	230		265					292		247			265	275	247	250					
PST	115	088	310	005	047		031	065	065	105	030		075	086	315	039	082	051			023	041	051	025	102		036	347	347
RYC	182	121	237	328	128	080	185	150	150		065	105	098	128	245	055	168	090	085	203		038	090	202	133		186	220	220
SDI	193	130	230	283	170	091	202	170	170	162	188		108	142	238	072	184	118	095	221	218		118	210	143		203	220	220
PHP	222	140	250	292	245	070	250	222	222	185	280	119	102	165	254	347	220	130	067	231	270	298		250	157	080	246	244	244
SHB	174	108	253	350	075		078	117	117		038				264	045	149	070	070	205	022	030	070				143	237	237
SLI	280	027		315	315		305	304	304	275	320	036	027	324	290	339	288	337		282	313	323	337				301	290	290
SPI	266	080			335			320	320	178	337	068	059	060	290	0	287	005		275			005	308	110		308	290	290
SPP	180	106	261	347	060		010	108	108		025			110	273	041	150	068		216	006	023	068	323	121			255	255
WDI	140	099	271	012	067	069	062	091	091	119	047		083	106	291	050	115	064		167	040	040	064	057	110		075		
WPI				030	128	089		141	141		110		105		217	080		104		182	130	087		163			157	189	189
