Route,Origin,Destination,Fare (GBP),Currency
ALB-ALB,ALB,ALB,89.8,GBP
ALB-BVI,ALB,BVI,137.4,GBP
ALB-BKI,ALB,BKI,128.9,GBP
ALB-CCI,ALB,CCI,89.8,GBP
ALB-CHR,ALB,CHR,137.4,GBP
ALB-DWN,ALB,DWN,174.8,GBP
ALB-DGS,ALB,DGS,79.6,GBP
ALB-DNH,ALB,DNH,72.8,GBP
ALB-FXB,ALB,FXB,83,GBP
ALB-GEI,ALB,GEI,106.8,GBP
ALB-HLC,ALB,HLC,164.6,GBP
ALB-LYI,ALB,LYI,169.7,GBP
ALB-MPA,ALB,MPA,98.3,GBP
ALB-NWI,ALB,NWI,105.1,GBP
ALB-NHA,ALB,NHA,140.8,GBP
ALB-PBI,ALB,PBI,52.4,GBP
ALB-PGR,ALB,PGR,120.4,GBP
ALB-PHD,ALB,PHD,152.7,GBP
ALB-PSC,ALB,PSC,54.1,GBP
ALB-PST,ALB,PST,100,GBP
ALB-RYC,ALB,RYC,188.4,GBP
ALB-SDR,ALB,SDR,145.9,GBP
ALB-SNC,ALB,SNC,122.1,GBP
ALB-SDI,ALB,SDI,125.5,GBP
ALB-SLI,ALB,SLI,77.9,GBP
ALB-SHB,ALB,SHB,81.3,GBP
ALB-SPI,ALB,SPI,71.1,GBP
ALB-SPP,ALB,SPP,213.9,GBP
ALB-STY,ALB,STY,144.2,GBP
ALB-WKC,ALB,WKC,72.8,GBP
ALB-WDI,ALB,WDI,120.4,GBP
BVI-ALB,BVI,ALB,89.8,GBP
BVI-BVI,BVI,BVI,186.7,GBP
BVI-BKI,BVI,BKI,105.1,GBP
BVI-CCI,BVI,CCI,106.8,GBP
BVI-CHR,BVI,CHR,174.8,GBP
BVI-DWN,BVI,DWN,203.7,GBP
BVI-DGS,BVI,DGS,84.7,GBP
BVI-DNH,BVI,DNH,106.8,GBP
BVI-FXB,BVI,FXB,139.1,GBP
BVI-GEI,BVI,GEI,110.2,GBP
BVI-HLC,BVI,HLC,208.8,GBP
BVI-LYI,BVI,LYI,208.8,GBP
BVI-MPA,BVI,MPA,42.2,GBP
BVI-NWI,BVI,NWI,152.7,GBP
BVI-NHA,BVI,NHA,149.3,GBP
BVI-PBI,BVI,PBI,98.3,GBP
BVI-PGR,BVI,PGR,144.2,GBP
BVI-PHD,BVI,PHD,178.2,GBP
